Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Year,Month,Month_Name,Quarter,Profit_Margin,Avg_Unit_Price
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,2023,4,April,2,22.52,160.3
B-25295,2025,528,1,Office Supplies,Pens,Credit Card,2024-01-28,Paul Rogers,Florida,Miami,2024-01,2024,1,January,1,26.07,2025.0
B-25295,6800,167,16,Office Supplies,Binders,EMI,2024-01-28,Paul Rogers,Florida,Miami,2024-01,2024,1,January,1,2.46,425.0
B-26121,1126,55,1,Furniture,Bookcases,UPI,2022-01-16,Jon Banks,Florida,Tampa,2022-01,2022,1,January,1,4.88,1126.0
B-26121,1126,55,1,Furniture,Bookcases,UPI,2022-12-16,Michelle Williams,New York,Buffalo,2022-12,2022,12,December,4,4.88,1126.0
B-25560,7533,3508,12,Furniture,Tables,UPI,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,46.57,627.75
B-25560,4734,1178,16,Office Supplies,Binders,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,24.88,295.88
B-25560,4074,1175,6,Electronics,Electronic Games,Debit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,28.84,679.0
B-25560,2334,484,3,Furniture,Sofas,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,2023,7,July,3,20.74,778.0
B-26076,2750,1239,11,Electronics,Phones,Debit Card,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03,2025,3,March,1,45.05,250.0
B-26076,2750,1239,11,Electronics,Phones,Debit Card,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09,2024,9,September,3,45.05,250.0
B-26076,8639,3104,19,Office Supplies,Pens,EMI,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03,2025,3,March,1,35.93,454.68
B-26076,8639,3104,19,Office Supplies,Pens,EMI,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09,2024,9,September,3,35.93,454.68
B-25872,3808,1192,4,Office Supplies,Markers,UPI,2020-04-13,Shelly Sweeney,New York,New York City,2020-04,2020,4,April,2,31.3,952.0
B-25872,2588,705,16,Office Supplies,Pens,Credit Card,2020-04-13,Shelly Sweeney,New York,New York City,2020-04,2020,4,April,2,27.24,161.75
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2022-06-27,Emily Gill,Illinois,Springfield,2022-06,2022,6,June,2,45.69,318.2
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2021-03-14,Brian Patrick,Florida,Tampa,2021-03,2021,3,March,1,45.69,318.2
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2022-02-23,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,2022,2,February,1,45.69,318.2
B-26259,1757,622,10,Furniture,Chairs,UPI,2022-03-29,Douglas Mcfarland,Ohio,Cleveland,2022-03,2022,3,March,1,35.4,175.7
B-26259,1757,622,10,Furniture,Chairs,UPI,2022-11-20,Kayla Ross,Illinois,Peoria,2022-11,2022,11,November,4,35.4,175.7
B-25142,6940,253,15,Furniture,Bookcases,Debit Card,2021-11-12,Marc Strickland,Florida,Orlando,2021-11,2021,11,November,4,3.65,462.67
B-25142,5105,465,5,Electronics,Printers,UPI,2021-11-12,Marc Strickland,Florida,Orlando,2021-11,2021,11,November,4,9.11,1021.0
B-25326,5578,277,16,Furniture,Tables,COD,2021-08-17,Charlene Brown,Florida,Miami,2021-08,2021,8,August,3,4.97,348.62
B-25326,5578,277,16,Furniture,Tables,COD,2022-05-16,Charles Smith,Ohio,Columbus,2022-05,2022,5,May,2,4.97,348.62
B-26795,5224,1958,16,Furniture,Chairs,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07,2023,7,July,3,37.48,326.5
B-26795,5002,1801,11,Office Supplies,Markers,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07,2023,7,July,3,36.01,454.73
B-26795,7380,1673,18,Office Supplies,Markers,COD,2023-07-16,Karen Townsend,Texas,Houston,2023-07,2023,7,July,3,22.67,410.0
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,2020-08-18,Steven Cox,California,Los Angeles,2020-08,2020,8,August,3,37.83,1898.75
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,2022-04-19,Cynthia Rodriguez,New York,Rochester,2022-04,2022,4,April,2,37.83,1898.75
B-25410,1954,294,7,Furniture,Sofas,Debit Card,2022-12-23,Jessica Baker,Texas,Austin,2022-12,2022,12,December,4,15.05,279.14
B-25690,523,95,20,Electronics,Printers,EMI,2024-12-07,Mark Blackburn,Texas,Dallas,2024-12,2024,12,December,4,18.16,26.15
B-26464,5704,714,13,Electronics,Laptops,EMI,2022-02-03,Zachary Perez,Texas,Austin,2022-02,2022,2,February,1,12.52,438.77
B-26464,5704,714,13,Electronics,Laptops,EMI,2021-12-12,Brian Green,California,San Diego,2021-12,2021,12,December,4,12.52,438.77
B-26464,8797,1010,8,Furniture,Tables,UPI,2022-02-03,Zachary Perez,Texas,Austin,2022-02,2022,2,February,1,11.48,1099.62
B-26464,8797,1010,8,Furniture,Tables,UPI,2021-12-12,Brian Green,California,San Diego,2021-12,2021,12,December,4,11.48,1099.62
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,2022-02-03,Zachary Perez,Texas,Austin,2022-02,2022,2,February,1,31.39,1847.2
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,2021-12-12,Brian Green,California,San Diego,2021-12,2021,12,December,4,31.39,1847.2
B-26454,9109,586,17,Furniture,Sofas,EMI,2020-05-17,Becky Leach,Florida,Miami,2020-05,2020,5,May,2,6.43,535.82
B-26742,4358,526,19,Electronics,Phones,Credit Card,2022-12-05,Bryan Russell,Texas,Dallas,2022-12,2022,12,December,4,12.07,229.37
B-26742,4358,526,19,Electronics,Phones,Credit Card,2024-09-17,Tony Maddox,California,San Francisco,2024-09,2024,9,September,3,12.07,229.37
B-26742,6459,825,8,Electronics,Phones,Credit Card,2022-12-05,Bryan Russell,Texas,Dallas,2022-12,2022,12,December,4,12.77,807.38
B-26742,6459,825,8,Electronics,Phones,Credit Card,2024-09-17,Tony Maddox,California,San Francisco,2024-09,2024,9,September,3,12.77,807.38
B-25510,2478,92,12,Furniture,Bookcases,COD,2023-05-08,Jason Randolph,California,San Francisco,2023-05,2023,5,May,2,3.71,206.5
B-25510,2478,92,12,Furniture,Bookcases,COD,2021-03-03,Laura Andrews,New York,New York City,2021-03,2021,3,March,1,3.71,206.5
B-25510,2478,92,12,Furniture,Bookcases,COD,2021-03-18,Mrs. Stephanie Hooper,California,San Francisco,2021-03,2021,3,March,1,3.71,206.5
B-25510,2478,92,12,Furniture,Bookcases,COD,2023-04-24,Anthony Evans,Ohio,Cleveland,2023-04,2023,4,April,2,3.71,206.5
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,2021-10-09,Patrick Williams,New York,Rochester,2021-10,2021,10,October,4,36.99,499.6
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,2022-04-15,Susan Burke,Texas,Austin,2022-04,2022,4,April,2,36.99,499.6
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,2022-08-29,Brent Hernandez,New York,Rochester,2022-08,2022,8,August,3,36.99,499.6
B-25936,9619,3420,7,Office Supplies,Binders,UPI,2021-10-09,Patrick Williams,New York,Rochester,2021-10,2021,10,October,4,35.55,1374.14
B-25936,9619,3420,7,Office Supplies,Binders,UPI,2022-04-15,Susan Burke,Texas,Austin,2022-04,2022,4,April,2,35.55,1374.14
B-25936,9619,3420,7,Office Supplies,Binders,UPI,2022-08-29,Brent Hernandez,New York,Rochester,2022-08,2022,8,August,3,35.55,1374.14
B-25884,9538,3158,20,Electronics,Printers,Credit Card,2024-09-04,Sean Elliott,California,San Francisco,2024-09,2024,9,September,3,33.11,476.9
B-25884,9538,3158,20,Electronics,Printers,Credit Card,2021-05-18,Wanda West,Ohio,Cleveland,2021-05,2021,5,May,2,33.11,476.9
B-25884,9035,1227,14,Furniture,Chairs,EMI,2024-09-04,Sean Elliott,California,San Francisco,2024-09,2024,9,September,3,13.58,645.36
B-25884,9035,1227,14,Furniture,Chairs,EMI,2021-05-18,Wanda West,Ohio,Cleveland,2021-05,2021,5,May,2,13.58,645.36
B-26287,2684,670,2,Office Supplies,Paper,COD,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,24.96,1342.0
B-26287,822,147,5,Furniture,Sofas,Credit Card,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,17.88,164.4
B-26287,9730,2341,2,Furniture,Chairs,EMI,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,24.06,4865.0
B-26287,2483,236,2,Electronics,Electronic Games,COD,2024-07-02,Renee Solomon,Florida,Tampa,2024-07,2024,7,July,3,9.5,1241.5
B-26564,1297,600,7,Office Supplies,Binders,Credit Card,2024-02-16,Daryl Miles,Florida,Orlando,2024-02,2024,2,February,1,46.26,185.29
B-26564,7909,1942,19,Electronics,Phones,COD,2024-02-16,Daryl Miles,Florida,Orlando,2024-02,2024,2,February,1,24.55,416.26
B-26293,9768,4518,8,Furniture,Tables,Credit Card,2021-11-26,Michael Hunt,Texas,Dallas,2021-11,2021,11,November,4,46.25,1221.0
B-26293,4968,934,5,Furniture,Sofas,Debit Card,2021-11-26,Michael Hunt,Texas,Dallas,2021-11,2021,11,November,4,18.8,993.6
B-26293,1731,149,4,Electronics,Laptops,EMI,2021-11-26,Michael Hunt,Texas,Dallas,2021-11,2021,11,November,4,8.61,432.75
B-25915,3433,1169,10,Office Supplies,Binders,COD,2024-02-01,Adam Clark,California,San Francisco,2024-02,2024,2,February,1,34.05,343.3
B-25915,3433,1169,10,Office Supplies,Binders,COD,2021-09-09,Amy Olsen,Illinois,Springfield,2021-09,2021,9,September,3,34.05,343.3
B-25915,3433,1169,10,Office Supplies,Binders,COD,2021-09-08,Stacey Miller,California,San Diego,2021-09,2021,9,September,3,34.05,343.3
B-25915,3887,1490,1,Office Supplies,Binders,Debit Card,2024-02-01,Adam Clark,California,San Francisco,2024-02,2024,2,February,1,38.33,3887.0
B-25915,3887,1490,1,Office Supplies,Binders,Debit Card,2021-09-09,Amy Olsen,Illinois,Springfield,2021-09,2021,9,September,3,38.33,3887.0
B-25915,3887,1490,1,Office Supplies,Binders,Debit Card,2021-09-08,Stacey Miller,California,San Diego,2021-09,2021,9,September,3,38.33,3887.0
B-26496,1801,641,20,Office Supplies,Markers,Credit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07,2024,7,July,3,35.59,90.05
B-26496,5301,817,10,Furniture,Tables,Debit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07,2024,7,July,3,15.41,530.1
B-26496,1166,520,12,Office Supplies,Paper,Debit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07,2024,7,July,3,44.6,97.17
B-26496,3196,1411,15,Office Supplies,Paper,Debit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07,2024,7,July,3,44.15,213.07
B-25856,3428,350,1,Furniture,Chairs,Credit Card,2023-02-28,Monica Gibson,Illinois,Springfield,2023-02,2023,2,February,1,10.21,3428.0
B-25856,7223,2433,12,Office Supplies,Binders,Credit Card,2023-02-28,Monica Gibson,Illinois,Springfield,2023-02,2023,2,February,1,33.68,601.92
B-25856,3731,647,1,Office Supplies,Pens,Credit Card,2023-02-28,Monica Gibson,Illinois,Springfield,2023-02,2023,2,February,1,17.34,3731.0
B-26899,8903,4401,18,Office Supplies,Pens,Credit Card,2022-08-08,Christopher Jordan,Ohio,Columbus,2022-08,2022,8,August,3,49.43,494.61
B-25916,6009,2107,7,Electronics,Phones,UPI,2022-12-07,Christina Davis,Illinois,Chicago,2022-12,2022,12,December,4,35.06,858.43
B-25916,6009,2107,7,Electronics,Phones,UPI,2024-04-29,Claudia Curry,Texas,Austin,2024-04,2024,4,April,2,35.06,858.43
B-25916,2858,230,3,Furniture,Tables,Credit Card,2022-12-07,Christina Davis,Illinois,Chicago,2022-12,2022,12,December,4,8.05,952.67
B-25916,2858,230,3,Furniture,Tables,Credit Card,2024-04-29,Claudia Curry,Texas,Austin,2024-04,2024,4,April,2,8.05,952.67
B-25916,8175,525,7,Furniture,Sofas,Credit Card,2022-12-07,Christina Davis,Illinois,Chicago,2022-12,2022,12,December,4,6.42,1167.86
B-25916,8175,525,7,Furniture,Sofas,Credit Card,2024-04-29,Claudia Curry,Texas,Austin,2024-04,2024,4,April,2,6.42,1167.86
B-25916,5846,586,18,Furniture,Sofas,UPI,2022-12-07,Christina Davis,Illinois,Chicago,2022-12,2022,12,December,4,10.02,324.78
B-25916,5846,586,18,Furniture,Sofas,UPI,2024-04-29,Claudia Curry,Texas,Austin,2024-04,2024,4,April,2,10.02,324.78
B-26428,706,197,11,Electronics,Laptops,Credit Card,2022-01-02,Brandon Anderson,Texas,Austin,2022-01,2022,1,January,1,27.9,64.18
B-26332,9835,2571,16,Furniture,Tables,COD,2022-06-10,George Foster,Texas,Dallas,2022-06,2022,6,June,2,26.14,614.69
B-26332,9835,2571,16,Furniture,Tables,COD,2021-11-16,Nicholas Anderson,Florida,Orlando,2021-11,2021,11,November,4,26.14,614.69
B-26332,9835,2571,16,Furniture,Tables,COD,2022-08-17,Emily Ellison,California,Los Angeles,2022-08,2022,8,August,3,26.14,614.69
B-26332,9691,3056,13,Office Supplies,Markers,Credit Card,2022-06-10,George Foster,Texas,Dallas,2022-06,2022,6,June,2,31.53,745.46
B-26332,9691,3056,13,Office Supplies,Markers,Credit Card,2021-11-16,Nicholas Anderson,Florida,Orlando,2021-11,2021,11,November,4,31.53,745.46
B-26332,9691,3056,13,Office Supplies,Markers,Credit Card,2022-08-17,Emily Ellison,California,Los Angeles,2022-08,2022,8,August,3,31.53,745.46
B-26332,7826,1221,14,Furniture,Bookcases,UPI,2022-06-10,George Foster,Texas,Dallas,2022-06,2022,6,June,2,15.6,559.0
B-26332,7826,1221,14,Furniture,Bookcases,UPI,2021-11-16,Nicholas Anderson,Florida,Orlando,2021-11,2021,11,November,4,15.6,559.0
B-26332,7826,1221,14,Furniture,Bookcases,UPI,2022-08-17,Emily Ellison,California,Los Angeles,2022-08,2022,8,August,3,15.6,559.0
B-25303,770,241,11,Furniture,Sofas,COD,2021-11-23,Darren Perez,Texas,Austin,2021-11,2021,11,November,4,31.3,70.0
B-25303,770,241,11,Furniture,Sofas,COD,2023-03-04,Michelle Hunter,Ohio,Cincinnati,2023-03,2023,3,March,1,31.3,70.0
B-26507,9895,1598,20,Furniture,Bookcases,COD,2023-12-16,Janet Guerrero,New York,Rochester,2023-12,2023,12,December,4,16.15,494.75
B-25983,6517,1581,10,Office Supplies,Paper,Debit Card,2024-05-19,Jeffrey Kline,Florida,Miami,2024-05,2024,5,May,2,24.26,651.7
B-25983,6517,1581,10,Office Supplies,Paper,Debit Card,2020-05-14,Ryan Bullock,Florida,Tampa,2020-05,2020,5,May,2,24.26,651.7
B-25983,1166,349,11,Furniture,Tables,Credit Card,2024-05-19,Jeffrey Kline,Florida,Miami,2024-05,2024,5,May,2,29.93,106.0
B-25983,1166,349,11,Furniture,Tables,Credit Card,2020-05-14,Ryan Bullock,Florida,Tampa,2020-05,2020,5,May,2,29.93,106.0
B-25156,9820,793,16,Furniture,Chairs,Credit Card,2021-08-29,Tom Lawson,New York,Buffalo,2021-08,2021,8,August,3,8.08,613.75
B-26759,8563,2624,8,Office Supplies,Binders,COD,2024-11-10,Rebecca Smith,Texas,Dallas,2024-11,2024,11,November,4,30.64,1070.38
B-26759,4441,281,20,Electronics,Printers,COD,2024-11-10,Rebecca Smith,Texas,Dallas,2024-11,2024,11,November,4,6.33,222.05
B-26244,7340,2271,8,Office Supplies,Paper,EMI,2021-12-05,William Welch,Florida,Orlando,2021-12,2021,12,December,4,30.94,917.5
B-26244,5442,1610,1,Electronics,Phones,EMI,2021-12-05,William Welch,Florida,Orlando,2021-12,2021,12,December,4,29.58,5442.0
B-26365,1895,391,14,Furniture,Tables,UPI,2024-07-05,Mr. Curtis Bailey,Florida,Tampa,2024-07,2024,7,July,3,20.63,135.36
B-26365,5323,322,13,Office Supplies,Binders,COD,2024-07-05,Mr. Curtis Bailey,Florida,Tampa,2024-07,2024,7,July,3,6.05,409.46
B-26212,8850,279,13,Office Supplies,Markers,Debit Card,2024-06-25,Janet Carlson,Florida,Miami,2024-06,2024,6,June,2,3.15,680.77
B-26212,8667,1266,6,Office Supplies,Paper,Debit Card,2024-06-25,Janet Carlson,Florida,Miami,2024-06,2024,6,June,2,14.61,1444.5
